
>>>>> 1.8.7
04:29:08 ResolveAddress
04:29:09 ReadFile
04:29:10 ReadFile
04:29:11 ReadFile
04:29:12 ReadFile
04:29:13 ReadFile
04:29:14 ResolveAddress
04:29:15 ReadFile
04:29:16 ResolveAddress
04:29:17 ResolveAddress
04:29:18 ResolveAddress
04:29:19 ReadFile
04:29:20 ResolveAddress
04:29:21 ResolveAddress
04:29:22 ReadFile
04:29:23 ReadFile
04:29:24 ReadFile
04:29:25 ResolveAddress
04:29:26 ResolveAddress
04:29:27 ResolveAddress
04:29:27 Done.

>>>>> 1.9.7
04:29:27 ResolveAddress
04:29:28 ReadFile
04:29:29 ReadFile
04:29:30 ResolveAddress
04:29:31 ReadFile
04:29:32 ReadFile
04:29:33 ReadFile
04:29:34 ReadFile
04:29:35 ReadFile
04:29:36 ResolveAddress
04:29:37 ReadFile
04:29:38 ResolveAddress
04:29:39 ResolveAddress
04:29:40 ResolveAddress
04:29:41 ResolveAddress
04:29:42 ReadFile
04:29:43 ReadFile
04:29:44 ResolveAddress
04:29:45 ResolveAddress
04:29:46 ResolveAddress
04:29:46 Done.

>>>>> 1.10.4
04:29:46 ResolveAddress
04:29:47 ReadFile
04:29:48 ReadFile
04:29:49 ResolveAddress
04:29:50 ReadFile
04:29:51 ResolveAddress
04:29:52 ReadFile
04:29:53 ReadFile
04:29:54 ReadFile
04:29:55 ResolveAddress
04:29:56 ResolveAddress
04:29:57 ReadFile
04:29:58 ResolveAddress
04:29:59 ReadFile
04:30:00 ReadFile
04:30:01 ResolveAddress
04:30:02 ReadFile
04:30:03 ResolveAddress
04:30:04 ResolveAddress
04:30:05 ResolveAddress
04:30:05 Done.

>>>>> 1.11
04:30:06 ReadFile
04:30:07 ResolveAddress
04:30:08 ReadFile
04:30:09 ReadFile
04:30:10 ResolveAddress
04:30:11 ReadFile
04:30:12 ResolveAddress
04:30:13 ResolveAddress
04:30:14 ResolveAddress
04:30:15 ReadFile
04:30:16 ResolveAddress
04:30:17 ResolveAddress
04:30:18 ResolveAddress
04:30:19 ReadFile
04:30:20 ResolveAddress
04:30:21 ReadFile
04:30:22 ReadFile
04:30:23 ReadFile
04:30:24 ReadFile
04:30:25 ResolveAddress
04:30:25 Done.
