
>>>>> 1.8.7
04:25:06 ReadFile
04:25:07 ResolveAddress
04:25:07 ResolveAddress
04:25:08 ResolveAddress
04:25:08 ResolveAddress
04:25:09 ResolveAddress
04:25:09 ReadFile
04:25:10 ResolveAddress
04:25:10 ResolveAddress
04:25:11 ResolveAddress
04:25:12 ResolveAddress
04:25:18 ReadFile
04:25:24 ReadFile
04:25:30 ReadFile
04:25:36 ReadFile
04:25:42 ReadFile
04:25:48 ReadFile
04:25:54 ReadFile
04:26:00 ReadFile
04:26:06 ResolveAddress
04:26:06 Done.

>>>>> 1.9.7
04:26:06 ReadFile
04:26:07 ResolveAddress
04:26:07 ResolveAddress
04:26:08 ReadFile
04:26:08 ReadFile
04:26:09 ResolveAddress
04:26:09 ReadFile
04:26:10 ReadFile
04:26:10 ReadFile
04:26:11 ReadFile
04:26:12 ReadFile
04:26:18 ReadFile
04:26:24 ResolveAddress
04:26:30 ResolveAddress
04:26:36 ReadFile
04:26:42 ResolveAddress
04:26:48 ResolveAddress
04:26:54 ResolveAddress
04:27:00 ResolveAddress
04:27:06 ResolveAddress
04:27:06 Done.

>>>>> 1.10.4
04:27:07 ReadFile
04:27:07 ResolveAddress
04:27:08 ReadFile
04:27:08 ReadFile
04:27:09 ReadFile
04:27:09 ReadFile
04:27:10 ReadFile
04:27:10 ResolveAddress
04:27:11 ResolveAddress
04:27:11 ResolveAddress
04:27:13 ResolveAddress
04:27:19 ResolveAddress
04:27:25 ReadFile
04:27:31 ResolveAddress
04:27:37 ReadFile
04:27:43 ReadFile
04:27:49 ResolveAddress
04:27:55 ResolveAddress
04:28:01 ResolveAddress
04:28:07 ReadFile
04:28:07 Done.

>>>>> 1.11
04:28:07 ReadFile
04:28:07 ReadFile
04:28:08 ResolveAddress
04:28:08 ReadFile
04:28:09 ReadFile
04:28:09 ResolveAddress
04:28:10 ResolveAddress
04:28:10 ReadFile
04:28:11 ResolveAddress
04:28:11 ReadFile
04:28:13 ResolveAddress
04:28:19 ResolveAddress
04:28:25 ResolveAddress
04:28:31 ReadFile
04:28:37 ReadFile
04:28:43 ReadFile
04:28:49 ResolveAddress
04:28:55 ReadFile
04:29:01 ResolveAddress
04:29:07 ResolveAddress
04:29:07 Done.
