
>>>>> 1.8.7
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 Done.

>>>>> 1.9.7
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ResolveAddress
04:29:07 ReadFile
04:29:07 ReadFile
04:29:07 Done.

>>>>> 1.10.4
04:29:08 ResolveAddress
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ResolveAddress
04:29:08 Done.

>>>>> 1.11
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ResolveAddress
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 ReadFile
04:29:08 Done.
